id,created_at,text
1233407854167707648,2020-02-28 15:05:22,"b'@SunilKu84488437 payment link or ask for sensitive information like VPA-UPI related, User ID, PIN, Internet Banking\xe2\x80\xa6 https://t.co/lJxXYDgZle'"
1233407853010079744,2020-02-28 15:05:22,b'@SunilKu84488437 platform for security reasons. Bank will not be responsible for any loss. We request you to delete\xe2\x80\xa6 https://t.co/9VtSLMYk1s'
1233407852091510787,2020-02-28 15:05:22,"b'@SunilKu84488437 Dear Sunil, please clarify the mode of transaction used by you, Debit card/Credit card/UPI or Inte\xe2\x80\xa6 https://t.co/6i1TQYGNIh'"
1233405033829588993,2020-02-28 14:54:10,"b""@diptiksingh look into the matter. Alternatively, you may also call on SBI's 24X7 helpline number i.e. 1800 11 2211\xe2\x80\xa6 https://t.co/LaSCHqDDgV"""
1233405032864919552,2020-02-28 14:54:10,"b'@diptiksingh Dear Dipti, we regret the inconvenience caused to you. We would like to facilitate a speedy resolution\xe2\x80\xa6 https://t.co/Gvp164oAou'"
1233404401768857603,2020-02-28 14:51:39,"b'@FTYTY Dear Sam, please visit the link https://t.co/xEZOkPchsu for a video tutorial on step by step process for com\xe2\x80\xa6 https://t.co/4blxZlIXna'"
1233402168431898624,2020-02-28 14:42:47,b'#SBI is proud to have been awarded in the \xe2\x80\x98Best Innovative Product\xe2\x80\x99 BFSI category for the development of the end-to\xe2\x80\xa6 https://t.co/O9pmCgaAfC'
1233396902152081410,2020-02-28 14:21:51,b'@chelikanichara1 PIN code for the said ATM. We will look into the matter. https://t.co/mSYcXr4dBD (2/2)'
1233396901158047744,2020-02-28 14:21:51,"b'@chelikanichara1 Dear Customer, we regret the inconvenience caused to you. We are committed to maintaining our lead\xe2\x80\xa6 https://t.co/bsaLgwuBis'"
1233394195932569605,2020-02-28 14:11:06,b'@loinprem phone/SMS/email. https://t.co/mSYcXr4dBD (3/3)'
1233394194884055042,2020-02-28 14:11:06,"b'@loinprem excluding such information to enable our team to respond. Further, please note that SBI or its employees\xe2\x80\xa6 https://t.co/RUH0vnECMB'"
1233394193827028992,2020-02-28 14:11:05,"b'@loinprem DISCLAIMER: Please do not share your account no., mobile no. or any personal or account related informati\xe2\x80\xa6 https://t.co/fmFEjV7eee'"
1233391352777498624,2020-02-28 13:59:48,"b'@ShahuShanky Dear Shankar, all SBI Credit Cards concerns/queries need to be directed to SBICard_Connect. For more i\xe2\x80\xa6 https://t.co/FCmhz99RET'"
1233390950396973056,2020-02-28 13:58:12,"b'@karanJ13 Card Number/PIN/CVV, etc. Inform your bank about such email/SMS or phone call. Immediately change your pa\xe2\x80\xa6 https://t.co/g1NtPmqlQK'"
1233390949553844224,2020-02-28 13:58:12,"b'@karanJ13 Dear Customer, we appreciate your alertness. Beware of fraudulent SMS/email. SBI never asks for User ID/P\xe2\x80\xa6 https://t.co/MejaFZBCka'"
1233390917526183939,2020-02-28 13:58:04,b'@PraveenBRaj5 We regret for the inconvenience caused and we confirm that the visit was conducted by the regional of\xe2\x80\xa6 https://t.co/zhjcRLTSj1'
1233390560553111553,2020-02-28 13:56:39,b'@Chethanpriya concerned. You may also share the specific details of your grievance by calling our contact center on\xe2\x80\xa6 https://t.co/MvQsMObbA2'
